name,activityType,startTimeLocal,locationName,duration,distance,elevationGain,elevationLoss,avgHr,maxHr,avgDoubleCadence,maxDoubleCadence,avgStrideLength,calories,bmrCalories,startLatitude,startLongitude
Bilbao Carrera,running,1724621856000.0,Bilbao,1949402.9541015625,500687.98828125,1000.0,1800.0,168.0,187.0,163.171875,182.0,94.50567780605789,1441.3668799999998,159.22075999999998,43.26777116395533,-2.930033393204212
Bilbao - Carrera,running,1724353510000.0,Bilbao,5868892.08984375,1406083.984375,2400.0,2200.0,165.0,188.0,163.5625,177.0,87.85548030436952,4110.409619999999,473.47225999999995,43.26666919514537,-2.927699703723192
Cádiz - Carrera mientras está cansado,running,1723752375000.0,Cádiz,2435008.056640625,600322.021484375,1200.0,2900.0,166.0,186.0,157.703125,226.0,95.77666464953376,1759.8084,201.12095999999997,36.50422138161957,-6.277221869677305
Cádiz - Repeticiones: velocidad,running,1723580987000.0,Cádiz,3766995.1171875,782468.017578125,2900.0,1300.0,141.0,180.0,138.453125,218.0,87.79412748861218,2128.53016,305.87145999999996,36.509935576468706,-6.26919343136251
Cádiz - Carrera,running,1723370232000.0,Cádiz,7291683.10546875,1649366.015625,1500.0,2100.0,166.0,189.0,160.046875,181.0,84.86673312113473,4931.653539999999,590.7928199999999,36.50660787709057,-6.2789941392838955
Bilbao Carrera,running,1723219417000.0,Bilbao,1588590.9423828125,400233.0078125,1000.0,1900.0,160.0,182.0,166.765625,198.0,90.63343155018306,1093.59522,129.89061999999998,43.26540696434677,-2.9321134462952614
Bilbao - Repeticiones: velocidad,running,1723064412000.0,Bilbao,2240029.052734375,589050.9765625,700.0,400.0,162.0,188.0,163.890625,178.0,96.12730835077242,1613.1576999999997,180.17085999999998,43.26602471061051,-2.928559770807624
Bilbao - Carrera,running,1722800079000.0,Bilbao,7885312.01171875,1820206.0546875,4400.0,4600.0,165.0,187.0,161.453125,175.0,85.81345210201818,5312.94536,645.26308,43.264935314655304,-2.9309481102973223
Santurce - Carrera mientras está cansado,running,1722533915000.0,Santurce,3327323.974609375,849984.9609375,700.0,2900.0,177.0,194.0,162.359375,179.0,94.15513542416775,2551.7221799999998,272.3513,43.326287576928735,-3.0316979996860027
Bilbao - Repeticiones: velocidad,running,1722461182000.0,Bilbao,2133931.884765625,515472.021484375,700.0,500.0,165.0,189.0,161.75,178.0,89.82104092671393,1504.2171799999999,175.98083999999997,43.266982762143016,-2.929201405495405
Bilbao - Carrera,running,1721929914000.0,Bilbao,7066250.9765625,1655002.9296875,3800.0,3900.0,159.0,180.0,165.53125,182.0,84.91982166359526,4831.093059999999,578.22276,43.26452041044831,-2.926933513954282
Bilbao - Contrarreloj,running,1721859120000.0,Bilbao,1868781.005859375,512239.013671875,700.0,700.0,172.0,194.0,162.625,183.0,100.71170090739318,1462.3169799999998,155.03073999999998,43.266305420547724,-2.9284022748470306
Santurce - Carrera mientras está cansado,running,1721503573000.0,Santurce,2798658.935546875,683804.98046875,2900.0,5900.0,170.0,190.0,156.78125,194.0,93.243264543572,2019.58964,230.45109999999997,43.325630351901054,-3.0307081807404757
Bilbao - Contrarreloj,running,1721168183000.0,Bilbao,1347332.03125,302937.01171875,400.0,1700.0,149.0,185.0,143.984375,190.0,92.11301407227769,842.1940199999999,108.94051999999999,43.264506328850985,-2.9313206020742655
Bilbao - Carrera,running,1720731420000.0,Bilbao,4351784.1796875,1009495.99609375,1500.0,2300.0,162.0,182.0,166.078125,180.0,85.94642662905386,2949.7740799999997,356.15169999999995,43.26633861288428,-2.929521845653653
